template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
high_value_passengers,"SELECT t.passenger_id, t.passenger_name, b.total_amount FROM aviation.tickets AS t JOIN aviation.bookings AS b ON b.book_ref = t.book_ref WHERE b.total_amount >= 270000 ORDER BY b.total_amount DESC LIMIT 100",207,1,1,0,False,True,False,2,2,3,0,1,0,0,0,0,16766.64,16778.3,100.0,34,732915.0,237.068,7,6,2,Limit,2,0,0,0,1,0,0,1,0,27656,8240,0,0,750000.0,500000.0,76701696,21413888,2,0.0002
high_value_passengers,"SELECT t.passenger_id, t.passenger_name, b.total_amount FROM aviation.tickets AS t JOIN aviation.bookings AS b ON b.book_ref = t.book_ref WHERE b.total_amount >= 270000 ORDER BY b.total_amount DESC LIMIT 100",207,1,1,0,False,True,False,2,2,3,0,1,0,0,0,0,16766.64,16778.3,100.0,34,732915.0,226.02,7,6,2,Limit,2,0,0,0,1,0,0,1,0,28136,7760,0,0,750000.0,500000.0,76701696,21413888,2,0.0002
bookings_with_expensive_ticket,"SELECT b.book_ref, b.total_amount FROM aviation.bookings AS b WHERE EXISTS (SELECT 1 FROM aviation.tickets AS t JOIN aviation.ticket_flights AS tf ON tf.ticket_no = t.ticket_no WHERE t.book_ref = b.book_ref AND tf.amount >= 96250)",230,1,3,1,False,False,False,3,3,3,0,1,0,0,0,0,25198.6,51963.16,218829.0,13,1067660.0,650.988,8,6,3,Gather,3,0,0,0,2,0,0,0,0,58521,22148,0,0,1750000.0,1000000.0,205963264,82354176,3,0.218829
bookings_with_expensive_ticket,"SELECT b.book_ref, b.total_amount FROM aviation.bookings AS b WHERE EXISTS (SELECT 1 FROM aviation.tickets AS t JOIN aviation.ticket_flights AS tf ON tf.ticket_no = t.ticket_no WHERE t.book_ref = b.book_ref AND tf.amount >= 96250)",230,1,3,1,False,False,False,3,3,3,0,1,0,0,0,0,25198.6,51963.16,218829.0,13,1067660.0,620.227,8,6,3,Gather,3,0,0,0,2,0,0,0,0,59225,21444,0,0,1750000.0,1000000.0,205963264,82354176,3,0.218829
fare_price_percentiles,"SELECT f.departure_airport, f.arrival_airport, percentile_cont(0.5) WITHIN GROUP (ORDER BY tf.amount) AS median_fare, percentile_cont(0.9) WITHIN GROUP (ORDER BY tf.amount) AS p90_fare FROM aviation.ticket_flights AS tf JOIN aviation.flights AS f ON f.flight_id = tf.flight_id WHERE tf.fare_conditions = 'Economy' GROUP BY f.departure_airport, f.arrival_airport",361,1,1,0,True,True,False,2,2,4,2,1,0,0,0,0,118111.23,128255.23,100.0,24,2534300.0,2764.267,6,5,2,Aggregate,2,0,0,0,1,0,0,1,1,26530,9400,4972,4994,1050000.0,1000000.0,136249344,63668224,3,0.0001
fare_price_percentiles,"SELECT f.departure_airport, f.arrival_airport, percentile_cont(0.5) WITHIN GROUP (ORDER BY tf.amount) AS median_fare, percentile_cont(0.9) WITHIN GROUP (ORDER BY tf.amount) AS p90_fare FROM aviation.ticket_flights AS tf JOIN aviation.flights AS f ON f.flight_id = tf.flight_id WHERE tf.fare_conditions = 'Economy' GROUP BY f.departure_airport, f.arrival_airport",361,1,1,0,True,True,False,2,2,4,2,1,0,0,0,0,118111.23,128255.23,100.0,24,2534300.0,2492.155,6,5,2,Aggregate,2,0,0,0,1,0,0,1,1,26644,9272,4972,4994,1050000.0,1000000.0,136249344,63668224,3,0.0001
ticket_fare_lookup,"SELECT t.ticket_no, tf.flight_id, tf.amount FROM aviation.tickets AS t JOIN aviation.ticket_flights AS tf ON tf.ticket_no = t.ticket_no WHERE t.passenger_id = '4460-424418' AND tf.fare_conditions = 'Business'",208,1,2,0,False,False,False,2,2,3,0,1,0,0,0,0,1000.42,8762.17,1.0,24,4.0,82.813,4,3,2,Nested Loop,1,1,0,0,0,0,1,0,0,11460,3988,0,0,1500000.0,1000000.0,187252736,76726272,2,1e-06
ticket_fare_lookup,"SELECT t.ticket_no, tf.flight_id, tf.amount FROM aviation.tickets AS t JOIN aviation.ticket_flights AS tf ON tf.ticket_no = t.ticket_no WHERE t.passenger_id = '4460-424418' AND tf.fare_conditions = 'Business'",208,1,2,0,False,False,False,2,2,3,0,1,0,0,0,0,1000.42,8762.17,1.0,24,4.0,80.874,4,3,2,Nested Loop,1,1,0,0,0,0,1,0,0,11752,3696,0,0,1500000.0,1000000.0,187252736,76726272,2,1e-06
aircraft_revenue_rank,"WITH totals AS (SELECT f.aircraft_code, f.departure_airport, SUM(tf.amount) AS revenue FROM aviation.flights AS f JOIN aviation.ticket_flights AS tf ON tf.flight_id = f.flight_id WHERE f.status = 'Arrived' GROUP BY f.aircraft_code, f.departure_airport) SELECT aircraft_code, departure_airport, revenue, DENSE_RANK() OVER (PARTITION BY aircraft_code ORDER BY revenue DESC) AS revenue_rank FROM totals WHERE revenue >= 50000 ORDER BY aircraft_code, revenue_rank",459,1,2,1,True,True,False,2,2,7,2,1,0,0,0,0,16685.91,16699.54,17.0,48,547390.0,328.619,12,11,2,Incremental Sort,2,0,0,0,1,0,0,1,2,77871,22850,0,0,1050000.0,1000000.0,136249344,63668224,3,1.7e-05
aircraft_revenue_rank,"WITH totals AS (SELECT f.aircraft_code, f.departure_airport, SUM(tf.amount) AS revenue FROM aviation.flights AS f JOIN aviation.ticket_flights AS tf ON tf.flight_id = f.flight_id WHERE f.status = 'Arrived' GROUP BY f.aircraft_code, f.departure_airport) SELECT aircraft_code, departure_airport, revenue, DENSE_RANK() OVER (PARTITION BY aircraft_code ORDER BY revenue DESC) AS revenue_rank FROM totals WHERE revenue >= 50000 ORDER BY aircraft_code, revenue_rank",459,1,2,1,True,True,False,2,2,7,2,1,0,0,0,0,16685.91,16699.54,17.0,48,547390.0,298.547,12,11,2,Incremental Sort,2,0,0,0,1,0,0,1,2,78828,21890,0,0,1050000.0,1000000.0,136249344,63668224,3,1.7e-05
flight_gap_analysis,"WITH ordered AS (SELECT flight_id, arrival_airport, scheduled_departure, LAG(scheduled_departure) OVER (PARTITION BY arrival_airport ORDER BY scheduled_departure) AS previous_departure FROM aviation.flights WHERE departure_airport = 'GME') SELECT flight_id, arrival_airport, scheduled_departure, scheduled_departure - previous_departure AS departure_gap FROM ordered WHERE scheduled_departure >= DATE '2025-11-09' ORDER BY departure_gap DESC NULLS LAST LIMIT 100",462,0,2,1,False,True,False,1,1,8,1,0,0,0,0,0,1627.7,1627.95,100.0,32,16165.0,27.565,6,6,1,Limit,1,0,0,0,0,0,0,2,0,3121,0,0,0,50000.0,50000.0,6987776,2727936,2,0.002
flight_gap_analysis,"WITH ordered AS (SELECT flight_id, arrival_airport, scheduled_departure, LAG(scheduled_departure) OVER (PARTITION BY arrival_airport ORDER BY scheduled_departure) AS previous_departure FROM aviation.flights WHERE departure_airport = 'GME') SELECT flight_id, arrival_airport, scheduled_departure, scheduled_departure - previous_departure AS departure_gap FROM ordered WHERE scheduled_departure >= DATE '2025-11-09' ORDER BY departure_gap DESC NULLS LAST LIMIT 100",462,0,2,1,False,True,False,1,1,8,1,0,0,0,0,0,1627.7,1627.95,100.0,32,16165.0,27.888,6,6,1,Limit,1,0,0,0,0,0,0,2,0,3096,0,0,0,50000.0,50000.0,6987776,2727936,2,0.002
route_revenue,"SELECT f.departure_airport, f.arrival_airport, SUM(tf.amount) AS revenue FROM aviation.flights AS f JOIN aviation.ticket_flights AS tf ON tf.flight_id = f.flight_id WHERE f.departure_airport = 'GME' GROUP BY f.departure_airport, f.arrival_airport ORDER BY revenue DESC",268,1,1,0,True,True,False,2,2,3,1,1,0,0,0,0,16003.09,16003.12,10.0,40,467185.0,257.795,9,8,2,Sort,2,0,0,0,1,0,0,2,2,56295,14651,0,0,1050000.0,1000000.0,136249344,63668224,3,1e-05
route_revenue,"SELECT f.departure_airport, f.arrival_airport, SUM(tf.amount) AS revenue FROM aviation.flights AS f JOIN aviation.ticket_flights AS tf ON tf.flight_id = f.flight_id WHERE f.departure_airport = 'GME' GROUP BY f.departure_airport, f.arrival_airport ORDER BY revenue DESC",268,1,1,0,True,True,False,2,2,3,1,1,0,0,0,0,16003.09,16003.12,10.0,40,467185.0,199.077,9,8,2,Sort,2,0,0,0,1,0,0,2,2,56967,13979,0,0,1050000.0,1000000.0,136249344,63668224,3,1e-05
boarding_pass_lookup,"SELECT bp.boarding_no, bp.seat_no, t.passenger_name FROM aviation.boarding_passes AS bp JOIN aviation.tickets AS t ON t.ticket_no = bp.ticket_no WHERE bp.flight_id = 18458 AND bp.boarding_no BETWEEN 4 AND 8",206,1,2,0,False,False,False,2,2,3,0,1,0,0,0,0,0.85,57.74,5.0,23,11.0,0.347,3,2,2,Nested Loop,0,2,0,0,0,0,1,0,0,22,26,0,0,1300000.0,800000.0,181608448,91168768,4,6.25e-06
boarding_pass_lookup,"SELECT bp.boarding_no, bp.seat_no, t.passenger_name FROM aviation.boarding_passes AS bp JOIN aviation.tickets AS t ON t.ticket_no = bp.ticket_no WHERE bp.flight_id = 18458 AND bp.boarding_no BETWEEN 4 AND 8",206,1,2,0,False,False,False,2,2,3,0,1,0,0,0,0,0.85,57.74,5.0,23,11.0,0.308,3,2,2,Nested Loop,0,2,0,0,0,0,1,0,0,48,0,0,0,1300000.0,800000.0,181608448,91168768,4,6.25e-06
fare_statistics,"SELECT fare_conditions, COUNT(*) AS ticket_count, AVG(amount) AS average_amount FROM aviation.ticket_flights WHERE fare_conditions = 'Economy' AND amount >= 15750 GROUP BY fare_conditions HAVING COUNT(*) > 10",208,0,2,0,True,False,False,1,1,3,3,0,0,0,0,0,1000.0,17088.73,1.0,48,300901.0,229.996,4,4,1,Aggregate,1,0,0,0,0,0,0,0,2,25732,7604,0,0,1000000.0,1000000.0,129261568,60940288,1,1e-06
fare_statistics,"SELECT fare_conditions, COUNT(*) AS ticket_count, AVG(amount) AS average_amount FROM aviation.ticket_flights WHERE fare_conditions = 'Economy' AND amount >= 15750 GROUP BY fare_conditions HAVING COUNT(*) > 10",208,0,2,0,True,False,False,1,1,3,3,0,0,0,0,0,1000.0,17088.73,1.0,48,300901.0,229.233,4,4,1,Aggregate,1,0,0,0,0,0,0,0,2,26116,7220,0,0,1000000.0,1000000.0,129261568,60940288,1,1e-06
