template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
control_logistics_latest_tracking_event,"SELECT DISTINCT ON (shipment_id) shipment_id, event_type, event_time, facility_id FROM logistics.tracking_events WHERE facility_id = 17 ORDER BY shipment_id, event_time DESC",173,0,1,0,False,True,True,1,1,4,0,0,0,0,0,0,17878.16,20777.97,22862.0,29,67549.0,102.314,4,4,1,Unique,1,0,0,0,0,0,0,1,0,32082,17372,0,0,750000.0,750000.0,124403712,23609344,1,0.03048266666666667
control_logistics_latest_tracking_event,"SELECT DISTINCT ON (shipment_id) shipment_id, event_type, event_time, facility_id FROM logistics.tracking_events WHERE facility_id = 17 ORDER BY shipment_id, event_time DESC",173,0,1,0,False,True,True,1,1,4,0,0,0,0,0,0,17878.16,20777.97,22862.0,29,67549.0,96.577,4,4,1,Unique,1,0,0,0,0,0,0,1,0,32466,16988,0,0,750000.0,750000.0,124403712,23609344,1,0.03048266666666667
control_logistics_order_reconciliation,"SELECT po.purchase_order_id, po.total_value, SUM(pol.ordered_quantity * pol.unit_cost) AS line_value, po.total_value - SUM(pol.ordered_quantity * pol.unit_cost) AS difference FROM logistics.purchase_orders po JOIN logistics.purchase_order_lines pol USING (purchase_order_id) GROUP BY po.purchase_order_id HAVING ABS(po.total_value - SUM(pol.ordered_quantity * pol.unit_cost)) > 100 ORDER BY ABS(po.total_value - SUM(pol.ordered_quantity * pol.unit_cost)) DESC LIMIT 250",469,1,0,0,True,True,False,2,2,4,4,1,0,0,0,0,53957.6,53958.23,250.0,111,1160250.0,1573.56,6,5,2,Limit,0,2,0,0,0,1,0,1,1,2380041,42445,0,0,600000.0,480000.0,69771264,25427968,2,0.0005208333333333333
control_logistics_order_reconciliation,"SELECT po.purchase_order_id, po.total_value, SUM(pol.ordered_quantity * pol.unit_cost) AS line_value, po.total_value - SUM(pol.ordered_quantity * pol.unit_cost) AS difference FROM logistics.purchase_orders po JOIN logistics.purchase_order_lines pol USING (purchase_order_id) GROUP BY po.purchase_order_id HAVING ABS(po.total_value - SUM(pol.ordered_quantity * pol.unit_cost)) > 100 ORDER BY ABS(po.total_value - SUM(pol.ordered_quantity * pol.unit_cost)) DESC LIMIT 250",469,1,0,0,True,True,False,2,2,4,4,1,0,0,0,0,53957.6,53958.23,250.0,111,1160250.0,1278.244,6,5,2,Limit,0,2,0,0,0,1,0,1,1,2422480,0,0,0,600000.0,480000.0,69771264,25427968,2,0.0005208333333333333
control_logistics_item_velocity_class,"WITH velocity AS ( SELECT item_id, SUM(ABS(quantity_delta)) AS moved_units FROM logistics.stock_movements WHERE facility_id = 7 GROUP BY item_id ), classified AS ( SELECT *, NTILE(3) OVER (ORDER BY moved_units DESC) AS velocity_class FROM velocity ) SELECT velocity_class, COUNT(*) AS items, SUM(moved_units) AS units, AVG(moved_units) AS avg_units FROM classified GROUP BY velocity_class ORDER BY velocity_class",412,0,1,2,True,True,False,1,1,8,5,0,0,0,0,0,8166.41,8166.91,200.0,76,50744.0,48.485,9,9,1,Sort,1,0,0,0,0,0,0,2,3,32538,0,0,0,300000.0,300000.0,36405248,6758400,1,0.0006666666666666666
control_logistics_item_velocity_class,"WITH velocity AS ( SELECT item_id, SUM(ABS(quantity_delta)) AS moved_units FROM logistics.stock_movements WHERE facility_id = 7 GROUP BY item_id ), classified AS ( SELECT *, NTILE(3) OVER (ORDER BY moved_units DESC) AS velocity_class FROM velocity ) SELECT velocity_class, COUNT(*) AS items, SUM(moved_units) AS units, AVG(moved_units) AS avg_units FROM classified GROUP BY velocity_class ORDER BY velocity_class",412,0,1,2,True,True,False,1,1,8,5,0,0,0,0,0,8166.41,8166.91,200.0,76,50744.0,41.731,9,9,1,Sort,1,0,0,0,0,0,0,2,3,32535,0,0,0,300000.0,300000.0,36405248,6758400,1,0.0006666666666666666
control_logistics_supplier_concentration,"WITH supplier_value AS ( SELECT supplier_id, SUM(total_value)::numeric AS supplied_value FROM logistics.purchase_orders WHERE destination_facility_id = 28 GROUP BY supplier_id ), shares AS ( SELECT *, supplied_value / SUM(supplied_value) OVER () AS share FROM supplier_value ) SELECT SUM(share * share) AS hhi, COUNT(*) AS suppliers, MAX(share) AS largest_supplier_share FROM shares",382,0,1,2,True,False,False,1,1,7,5,0,0,0,0,0,3082.01,3082.02,1.0,72,12122.0,21.413,5,5,1,Aggregate,1,0,0,0,0,0,0,0,2,7025,0,0,0,120000.0,120000.0,14245888,2703360,1,8.333333333333334e-06
control_logistics_supplier_concentration,"WITH supplier_value AS ( SELECT supplier_id, SUM(total_value)::numeric AS supplied_value FROM logistics.purchase_orders WHERE destination_facility_id = 28 GROUP BY supplier_id ), shares AS ( SELECT *, supplied_value / SUM(supplied_value) OVER () AS share FROM supplier_value ) SELECT SUM(share * share) AS hhi, COUNT(*) AS suppliers, MAX(share) AS largest_supplier_share FROM shares",382,0,1,2,True,False,False,1,1,7,5,0,0,0,0,0,3082.01,3082.02,1.0,72,12122.0,25.056,5,5,1,Aggregate,1,0,0,0,0,0,0,0,2,7025,0,0,0,120000.0,120000.0,14245888,2703360,1,8.333333333333334e-06
control_logistics_lane_performance,"SELECT origin_facility_id, destination_facility_id, COUNT(*) AS shipments, AVG(shipping_cost) AS avg_cost, AVG(delivered_at - shipped_at) AS avg_transit FROM logistics.shipments WHERE shipment_status = 'picked_up' GROUP BY origin_facility_id, destination_facility_id HAVING COUNT(*) >= 20 ORDER BY shipments DESC",312,0,1,0,True,True,False,1,1,5,4,0,0,0,0,0,4602.89,4603.64,300.0,64,31320.0,65.859,3,3,1,Sort,1,0,0,0,0,0,0,1,1,0,6717,0,0,150000.0,150000.0,27877376,9502720,2,0.002
control_logistics_lane_performance,"SELECT origin_facility_id, destination_facility_id, COUNT(*) AS shipments, AVG(shipping_cost) AS avg_cost, AVG(delivered_at - shipped_at) AS avg_transit FROM logistics.shipments WHERE shipment_status = 'picked_up' GROUP BY origin_facility_id, destination_facility_id HAVING COUNT(*) >= 20 ORDER BY shipments DESC",312,0,1,0,True,True,False,1,1,5,4,0,0,0,0,0,4602.89,4603.64,300.0,64,31320.0,55.213,3,3,1,Sort,1,0,0,0,0,0,0,1,1,6717,0,0,0,150000.0,150000.0,27877376,9502720,2,0.002
