template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
pagila_overdue_rentals,"SELECT r.customer_id, COUNT(*) AS overdue_count, AVG(EXTRACT(EPOCH FROM (r.return_date - r.rental_date)) / 86400) AS avg_days FROM pagila.rental r WHERE r.return_date IS NOT NULL AND r.return_date - r.rental_date > INTERVAL '8 days' GROUP BY r.customer_id ORDER BY overdue_count DESC",283,0,2,0,True,True,False,1,1,3,2,0,0,0,0,0,505.09,506.58,599.0,44,6485.0,2.72,3,3,1,Sort,1,0,0,0,0,0,0,1,1,453,0,0,0,16044.0,16044.0,2490368,1228800,3,0.037334829219645975
pagila_overdue_rentals,"SELECT r.customer_id, COUNT(*) AS overdue_count, AVG(EXTRACT(EPOCH FROM (r.return_date - r.rental_date)) / 86400) AS avg_days FROM pagila.rental r WHERE r.return_date IS NOT NULL AND r.return_date - r.rental_date > INTERVAL '8 days' GROUP BY r.customer_id ORDER BY overdue_count DESC",283,0,2,0,True,True,False,1,1,3,2,0,0,0,0,0,505.09,506.58,599.0,44,6485.0,2.587,3,3,1,Sort,1,0,0,0,0,0,0,1,1,450,0,0,0,16044.0,16044.0,2490368,1228800,3,0.037334829219645975
pagila_inventory_availability,"SELECT i.store_id, COUNT(*) AS copies, COUNT(*) FILTER (WHERE r.rental_id IS NULL) AS available FROM pagila.inventory i LEFT JOIN pagila.rental r ON r.inventory_id = i.inventory_id AND r.return_date IS NULL WHERE i.film_id BETWEEN 598 AND 698 GROUP BY i.store_id ORDER BY i.store_id",282,1,2,0,True,True,False,2,2,3,2,0,1,0,0,0,418.89,418.89,2.0,20,1570.0,1.055,6,5,2,Sort,2,0,0,0,1,0,0,1,1,753,0,0,0,20625.0,16044.0,3006464,1466368,5,0.00012465719272001995
pagila_inventory_availability,"SELECT i.store_id, COUNT(*) AS copies, COUNT(*) FILTER (WHERE r.rental_id IS NULL) AS available FROM pagila.inventory i LEFT JOIN pagila.rental r ON r.inventory_id = i.inventory_id AND r.return_date IS NULL WHERE i.film_id BETWEEN 598 AND 698 GROUP BY i.store_id ORDER BY i.store_id",282,1,2,0,True,True,False,2,2,3,2,0,1,0,0,0,418.89,418.89,2.0,20,1570.0,0.975,6,5,2,Sort,2,0,0,0,1,0,0,1,1,750,0,0,0,20625.0,16044.0,3006464,1466368,5,0.00012465719272001995
pagila_replacement_exposure,"SELECT f.rating, COUNT(*) AS copies, SUM(f.replacement_cost) AS exposure FROM pagila.film f JOIN pagila.inventory i USING (film_id) WHERE f.replacement_cost >= 30 GROUP BY f.rating ORDER BY exposure DESC",203,1,1,0,True,True,False,2,2,3,2,1,0,0,0,0,164.53,164.54,1.0,44,4595.0,0.339,7,6,2,Sort,2,0,0,0,1,0,0,2,1,412,0,0,0,5581.0,4581.0,1286144,450560,7,0.00021829294913774285
pagila_replacement_exposure,"SELECT f.rating, COUNT(*) AS copies, SUM(f.replacement_cost) AS exposure FROM pagila.film f JOIN pagila.inventory i USING (film_id) WHERE f.replacement_cost >= 30 GROUP BY f.rating ORDER BY exposure DESC",203,1,1,0,True,True,False,2,2,3,2,1,0,0,0,0,164.53,164.54,1.0,44,4595.0,0.226,7,6,2,Sort,2,0,0,0,1,0,0,2,1,394,0,0,0,5581.0,4581.0,1286144,450560,7,0.00021829294913774285
pagila_unrented_films,"SELECT f.film_id, f.title FROM pagila.film f WHERE f.rating = 'R' AND NOT EXISTS ( SELECT 1 FROM pagila.inventory i JOIN pagila.rental r USING (inventory_id) WHERE i.film_id = f.film_id ) ORDER BY f.title",204,1,3,1,False,True,False,3,3,3,0,1,0,0,0,0,764.11,764.13,8.0,19,57505.0,5.822,8,6,3,Sort,3,0,0,0,2,0,0,1,0,1125,0,0,0,21625.0,16044.0,3776512,1679360,10,0.0004986287708800798
pagila_unrented_films,"SELECT f.film_id, f.title FROM pagila.film f WHERE f.rating = 'R' AND NOT EXISTS ( SELECT 1 FROM pagila.inventory i JOIN pagila.rental r USING (inventory_id) WHERE i.film_id = f.film_id ) ORDER BY f.title",204,1,3,1,False,True,False,3,3,3,0,1,0,0,0,0,764.11,764.13,8.0,19,57505.0,5.932,8,6,3,Sort,3,0,0,0,2,0,0,1,0,1122,0,0,0,21625.0,16044.0,3776512,1679360,10,0.0004986287708800798
pagila_top_films_per_category,"WITH ranked AS ( SELECT c.name AS category, f.title, COUNT(r.rental_id) AS rentals, dense_rank() OVER (PARTITION BY c.category_id ORDER BY COUNT(r.rental_id) DESC) AS rank FROM pagila.category c JOIN pagila.film_category fc USING (category_id) JOIN pagila.film f USING (film_id) JOIN pagila.inventory i USING (film_id) LEFT JOIN pagila.rental r USING (inventory_id) WHERE f.rating = 'G' GROUP BY c.category_id, c.name, f.film_id, f.title ) SELECT category, title, rentals FROM ranked WHERE rank <= 7 ORDER BY category, rentals DESC",531,4,2,1,True,True,False,5,5,7,3,3,1,0,0,0,1074.16,1081.28,2848.0,30,41271.0,3.977,18,13,5,Sort,5,0,0,0,4,0,0,2,1,2236,0,0,0,22641.0,16044.0,3923968,1736704,12,0.1775118424333084
pagila_top_films_per_category,"WITH ranked AS ( SELECT c.name AS category, f.title, COUNT(r.rental_id) AS rentals, dense_rank() OVER (PARTITION BY c.category_id ORDER BY COUNT(r.rental_id) DESC) AS rank FROM pagila.category c JOIN pagila.film_category fc USING (category_id) JOIN pagila.film f USING (film_id) JOIN pagila.inventory i USING (film_id) LEFT JOIN pagila.rental r USING (inventory_id) WHERE f.rating = 'G' GROUP BY c.category_id, c.name, f.film_id, f.title ) SELECT category, title, rentals FROM ranked WHERE rank <= 7 ORDER BY category, rentals DESC",531,4,2,1,True,True,False,5,5,7,3,3,1,0,0,0,1074.16,1081.28,2848.0,30,41271.0,3.936,18,13,5,Sort,5,0,0,0,4,0,0,2,1,2236,0,0,0,22641.0,16044.0,3923968,1736704,12,0.1775118424333084
