template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
train_ch_order_basket,"SELECT o.o_d_id, o.o_id, o.o_entry_d, COUNT(*) AS lines, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS basket_value FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = 4 GROUP BY o.o_d_id, o.o_id, o.o_entry_d HAVING SUM(ol.ol_amount) >= 250 ORDER BY basket_value DESC LIMIT 300",379,1,1,0,True,True,False,2,2,6,4,1,0,0,0,0,30374.71,30375.46,300.0,88,385707.0,434.031,11,10,2,Limit,1,0,0,1,1,0,0,2,2,92857,0,0,0,720000.0,600000.0,96862208,24797184,2,0.0005
train_ch_order_basket,"SELECT o.o_d_id, o.o_id, o.o_entry_d, COUNT(*) AS lines, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS basket_value FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = 4 GROUP BY o.o_d_id, o.o_id, o.o_entry_d HAVING SUM(ol.ol_amount) >= 250 ORDER BY basket_value DESC LIMIT 300",379,1,1,0,True,True,False,2,2,6,4,1,0,0,0,0,30374.71,30375.46,300.0,88,385707.0,354.724,11,10,2,Limit,1,0,0,1,1,0,0,2,2,92851,0,0,0,720000.0,600000.0,96862208,24797184,2,0.0005
train_ch_delivery_delay,"SELECT o.o_d_id, o.o_id, o.o_entry_d, MAX(ol.ol_delivery_d) AS completed_at, MAX(ol.ol_delivery_d) - o.o_entry_d AS elapsed FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = 4 AND ol.ol_delivery_d IS NOT NULL GROUP BY o.o_d_id, o.o_id, o.o_entry_d HAVING MAX(ol.ol_delivery_d) - o.o_entry_d > INTERVAL '24 hours' ORDER BY elapsed DESC LIMIT 250",443,1,2,0,True,True,False,2,2,5,3,1,0,0,0,0,18344.24,18344.86,250.0,40,465610.0,158.17,9,7,2,Limit,0,0,0,2,1,0,0,1,1,49856,0,0,0,720000.0,600000.0,96862208,24797184,2,0.0004166666666666667
train_ch_delivery_delay,"SELECT o.o_d_id, o.o_id, o.o_entry_d, MAX(ol.ol_delivery_d) AS completed_at, MAX(ol.ol_delivery_d) - o.o_entry_d AS elapsed FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = 4 AND ol.ol_delivery_d IS NOT NULL GROUP BY o.o_d_id, o.o_id, o.o_entry_d HAVING MAX(ol.ol_delivery_d) - o.o_entry_d > INTERVAL '24 hours' ORDER BY elapsed DESC LIMIT 250",443,1,2,0,True,True,False,2,2,5,3,1,0,0,0,0,18344.24,18344.86,250.0,40,465610.0,177.954,9,7,2,Limit,0,0,0,2,1,0,0,1,1,49846,0,0,0,720000.0,600000.0,96862208,24797184,2,0.0004166666666666667
train_ch_product_sales_by_state,"SELECT i.i_id, i.i_name, COUNT(DISTINCT o.o_id) AS orders, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS revenue FROM chbenchmark.customer c JOIN chbenchmark.oorder o ON o.o_w_id = c.c_w_id AND o.o_d_id = c.c_d_id AND o.o_c_id = c.c_id JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id JOIN chbenchmark.item i ON i.i_id = ol.ol_i_id WHERE c.c_state = 'WA' GROUP BY i.i_id, i.i_name ORDER BY revenue DESC LIMIT 150",474,3,1,0,True,True,False,4,4,5,3,3,0,0,0,0,32516.3,32516.67,150.0,88,546304.0,570.549,14,9,4,Limit,3,1,0,0,2,0,1,2,1,586202,0,1768,1772,870000.0,600000.0,127729664,30187520,4,0.00025
train_ch_product_sales_by_state,"SELECT i.i_id, i.i_name, COUNT(DISTINCT o.o_id) AS orders, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS revenue FROM chbenchmark.customer c JOIN chbenchmark.oorder o ON o.o_w_id = c.c_w_id AND o.o_d_id = c.c_d_id AND o.o_c_id = c.c_id JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id JOIN chbenchmark.item i ON i.i_id = ol.ol_i_id WHERE c.c_state = 'WA' GROUP BY i.i_id, i.i_name ORDER BY revenue DESC LIMIT 150",474,3,1,0,True,True,False,4,4,5,3,3,0,0,0,0,32516.3,32516.67,150.0,88,546304.0,405.869,14,9,4,Limit,3,1,0,0,2,0,1,2,1,586202,0,1768,1772,870000.0,600000.0,127729664,30187520,4,0.00025
train_ch_remote_supply,"SELECT ol.ol_supply_w_id, COUNT(*) AS remote_lines, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS revenue FROM chbenchmark.order_line ol WHERE ol.ol_w_id = 1 AND ol.ol_supply_w_id <> ol.ol_w_id GROUP BY ol.ol_supply_w_id ORDER BY revenue DESC",247,0,2,0,True,True,False,1,1,4,3,0,0,0,0,0,13192.67,13192.68,4.0,76,61863.0,72.842,6,6,1,Sort,1,0,0,0,0,0,0,2,2,46994,0,0,0,600000.0,600000.0,84729856,20602880,1,6.666666666666667e-06
train_ch_remote_supply,"SELECT ol.ol_supply_w_id, COUNT(*) AS remote_lines, SUM(ol.ol_quantity) AS units, SUM(ol.ol_amount) AS revenue FROM chbenchmark.order_line ol WHERE ol.ol_w_id = 1 AND ol.ol_supply_w_id <> ol.ol_w_id GROUP BY ol.ol_supply_w_id ORDER BY revenue DESC",247,0,2,0,True,True,False,1,1,4,3,0,0,0,0,0,13192.67,13192.68,4.0,76,61863.0,65.022,6,6,1,Sort,1,0,0,0,0,0,0,2,2,46994,0,0,0,600000.0,600000.0,84729856,20602880,1,6.666666666666667e-06
train_ch_customer_last_order,"SELECT c.c_id, c.c_first, c.c_last, latest.o_id, latest.o_entry_d, latest.order_value FROM chbenchmark.customer c LEFT JOIN LATERAL ( SELECT o.o_id, o.o_entry_d, SUM(ol.ol_amount) AS order_value FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = c.c_w_id AND o.o_d_id = c.c_d_id AND o.o_c_id = c.c_id GROUP BY o.o_id, o.o_entry_d ORDER BY o.o_entry_d DESC LIMIT 1 ) latest ON true WHERE c.c_w_id = 3 AND c.c_d_id = 10 ORDER BY latest.o_entry_d DESC NULLS LAST LIMIT 300",567,2,5,1,True,True,False,3,3,9,1,1,1,0,0,0,3110885.5,3110886.25,300.0,67,12619.0,4969.784,12,10,3,Limit,1,1,0,1,0,0,2,2,1,26624564,0,0,0,840000.0,600000.0,124469248,29499392,3,0.0005
train_ch_customer_last_order,"SELECT c.c_id, c.c_first, c.c_last, latest.o_id, latest.o_entry_d, latest.order_value FROM chbenchmark.customer c LEFT JOIN LATERAL ( SELECT o.o_id, o.o_entry_d, SUM(ol.ol_amount) AS order_value FROM chbenchmark.oorder o JOIN chbenchmark.order_line ol ON ol.ol_w_id = o.o_w_id AND ol.ol_d_id = o.o_d_id AND ol.ol_o_id = o.o_id WHERE o.o_w_id = c.c_w_id AND o.o_d_id = c.c_d_id AND o.o_c_id = c.c_id GROUP BY o.o_id, o.o_entry_d ORDER BY o.o_entry_d DESC LIMIT 1 ) latest ON true WHERE c.c_w_id = 3 AND c.c_d_id = 10 ORDER BY latest.o_entry_d DESC NULLS LAST LIMIT 300",567,2,5,1,True,True,False,3,3,9,1,1,1,0,0,0,3110885.5,3110886.25,300.0,67,12619.0,5260.576,12,10,3,Limit,1,1,0,1,0,0,2,2,1,26624564,0,0,0,840000.0,600000.0,124469248,29499392,3,0.0005
