template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
prod_network_two_hop,"WITH RECURSIVE network(origin, destination, depth, path) AS ( SELECT departure_airport, arrival_airport, 1, ARRAY[departure_airport::text, arrival_airport::text] FROM aviation.flights WHERE departure_airport = 'MSQ' UNION SELECT n.origin, f.arrival_airport, n.depth + 1, n.path || f.arrival_airport FROM network n JOIN aviation.flights f ON f.departure_airport = n.destination WHERE n.depth < 2 AND NOT f.arrival_airport = ANY(n.path) ) SELECT destination, MIN(depth) AS hops, COUNT(*) AS alternatives FROM network GROUP BY destination ORDER BY hops, alternatives DESC",568,1,3,2,True,True,False,2,1,11,2,1,0,0,0,0,3090460.67,3090461.17,200.0,28,82902889.0,755.611,10,5,1,Sort,2,0,0,0,0,1,0,3,1,6198,0,0,0,50000.0,50000.0,6987776,2727936,2,0.004
prod_network_two_hop,"WITH RECURSIVE network(origin, destination, depth, path) AS ( SELECT departure_airport, arrival_airport, 1, ARRAY[departure_airport::text, arrival_airport::text] FROM aviation.flights WHERE departure_airport = 'MSQ' UNION SELECT n.origin, f.arrival_airport, n.depth + 1, n.path || f.arrival_airport FROM network n JOIN aviation.flights f ON f.departure_airport = n.destination WHERE n.depth < 2 AND NOT f.arrival_airport = ANY(n.path) ) SELECT destination, MIN(depth) AS hops, COUNT(*) AS alternatives FROM network GROUP BY destination ORDER BY hops, alternatives DESC",568,1,3,2,True,True,False,2,1,11,2,1,0,0,0,0,3090460.67,3090461.17,200.0,28,82902889.0,523.837,10,5,1,Sort,2,0,0,0,0,1,0,3,1,6192,0,0,0,50000.0,50000.0,6987776,2727936,2,0.004
prod_seat_heatmap,"SELECT s.seat_no, s.fare_conditions, COUNT(DISTINCT f.flight_id) AS operated_flights, COUNT(bp.ticket_no) AS occupied, COUNT(bp.ticket_no)::numeric / NULLIF(COUNT(DISTINCT f.flight_id), 0) AS utilization FROM aviation.seats s JOIN aviation.flights f ON f.aircraft_code = s.aircraft_code LEFT JOIN aviation.boarding_passes bp ON bp.flight_id = f.flight_id AND bp.seat_no = s.seat_no WHERE s.aircraft_code = '320' GROUP BY s.seat_no, s.fare_conditions ORDER BY utilization DESC, s.seat_no",486,2,1,0,True,True,False,3,3,5,4,1,1,0,0,0,376303.96,376304.26,121.0,59,6930534.0,7880.2,10,7,3,Sort,3,0,0,0,1,0,1,2,1,3521,34914,78303,82049,850900.0,800000.0,130727936,78168064,6,0.00015125
prod_seat_heatmap,"SELECT s.seat_no, s.fare_conditions, COUNT(DISTINCT f.flight_id) AS operated_flights, COUNT(bp.ticket_no) AS occupied, COUNT(bp.ticket_no)::numeric / NULLIF(COUNT(DISTINCT f.flight_id), 0) AS utilization FROM aviation.seats s JOIN aviation.flights f ON f.aircraft_code = s.aircraft_code LEFT JOIN aviation.boarding_passes bp ON bp.flight_id = f.flight_id AND bp.seat_no = s.seat_no WHERE s.aircraft_code = '320' GROUP BY s.seat_no, s.fare_conditions ORDER BY utilization DESC, s.seat_no",486,2,1,0,True,True,False,3,3,5,4,1,1,0,0,0,376303.96,376304.26,121.0,59,6930534.0,8032.0,10,7,3,Sort,3,0,0,0,1,0,1,2,1,3707,34722,78303,82049,850900.0,800000.0,130727936,78168064,6,0.00015125
prod_passenger_no_show_streak,"WITH attendance AS ( SELECT t.passenger_id, f.scheduled_departure, CASE WHEN bp.ticket_no IS NULL THEN 1 ELSE 0 END AS no_show FROM aviation.tickets t JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no JOIN aviation.flights f ON f.flight_id = tf.flight_id LEFT JOIN aviation.boarding_passes bp ON bp.ticket_no = tf.ticket_no AND bp.flight_id = tf.flight_id ), runs AS ( SELECT *, SUM(CASE WHEN no_show = 0 THEN 1 ELSE 0 END) OVER (PARTITION BY passenger_id ORDER BY scheduled_departure) AS run_id FROM attendance ) SELECT passenger_id, run_id, COUNT(*) AS consecutive_no_shows FROM runs WHERE no_show = 1 GROUP BY passenger_id, run_id HAVING COUNT(*) >= 2 ORDER BY consecutive_no_shows DESC LIMIT 200",711,3,1,2,True,True,False,4,4,8,3,2,1,0,0,0,260558.96,260559.46,200.0,28,5280201.0,3807.425,18,13,4,Limit,4,0,0,0,3,0,0,2,1,102970,153060,223163,230476,2350000.0,1000000.0,317857792,154836992,7,0.0002
prod_passenger_no_show_streak,"WITH attendance AS ( SELECT t.passenger_id, f.scheduled_departure, CASE WHEN bp.ticket_no IS NULL THEN 1 ELSE 0 END AS no_show FROM aviation.tickets t JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no JOIN aviation.flights f ON f.flight_id = tf.flight_id LEFT JOIN aviation.boarding_passes bp ON bp.ticket_no = tf.ticket_no AND bp.flight_id = tf.flight_id ), runs AS ( SELECT *, SUM(CASE WHEN no_show = 0 THEN 1 ELSE 0 END) OVER (PARTITION BY passenger_id ORDER BY scheduled_departure) AS run_id FROM attendance ) SELECT passenger_id, run_id, COUNT(*) AS consecutive_no_shows FROM runs WHERE no_show = 1 GROUP BY passenger_id, run_id HAVING COUNT(*) >= 2 ORDER BY consecutive_no_shows DESC LIMIT 200",711,3,1,2,True,True,False,4,4,8,3,2,1,0,0,0,260558.96,260559.46,200.0,28,5280201.0,3565.917,18,13,4,Limit,4,0,0,0,3,0,0,2,1,105274,150756,223245,231036,2350000.0,1000000.0,317857792,154836992,7,0.0002
prod_booking_funnel,"WITH cohort AS ( SELECT book_ref FROM aviation.bookings WHERE book_date >= DATE '2025-01-01' AND book_date < DATE '2025-01-01' + INTERVAL '30 days' ), ticketed AS ( SELECT c.book_ref, COUNT(DISTINCT t.ticket_no) AS tickets FROM cohort c LEFT JOIN aviation.tickets t ON t.book_ref = c.book_ref GROUP BY c.book_ref ), segmented AS ( SELECT x.book_ref, x.tickets, COUNT(tf.flight_id) AS segments, COUNT(bp.ticket_no) AS boarded FROM ticketed x LEFT JOIN aviation.tickets t ON t.book_ref = x.book_ref LEFT JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no LEFT JOIN aviation.boarding_passes bp ON bp.ticket_no = tf.ticket_no AND bp.flight_id = tf.flight_id GROUP BY x.book_ref, x.tickets ) SELECT COUNT(*) AS bookings, COUNT(*) FILTER (WHERE tickets > 0) AS with_tickets, COUNT(*) FILTER (WHERE segments > 0) AS with_segments, COUNT(*) FILTER (WHERE boarded > 0) AS with_boarding FROM segmented",902,4,5,3,True,False,False,5,4,11,7,0,4,0,0,0,74103.4,74103.41,1.0,32,1917838.0,920.017,17,13,4,Aggregate,4,0,1,0,3,0,1,1,3,850357,33262,0,0,2550000.0,1000000.0,329580544,157736960,6,1e-06
prod_booking_funnel,"WITH cohort AS ( SELECT book_ref FROM aviation.bookings WHERE book_date >= DATE '2025-01-01' AND book_date < DATE '2025-01-01' + INTERVAL '30 days' ), ticketed AS ( SELECT c.book_ref, COUNT(DISTINCT t.ticket_no) AS tickets FROM cohort c LEFT JOIN aviation.tickets t ON t.book_ref = c.book_ref GROUP BY c.book_ref ), segmented AS ( SELECT x.book_ref, x.tickets, COUNT(tf.flight_id) AS segments, COUNT(bp.ticket_no) AS boarded FROM ticketed x LEFT JOIN aviation.tickets t ON t.book_ref = x.book_ref LEFT JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no LEFT JOIN aviation.boarding_passes bp ON bp.ticket_no = tf.ticket_no AND bp.flight_id = tf.flight_id GROUP BY x.book_ref, x.tickets ) SELECT COUNT(*) AS bookings, COUNT(*) FILTER (WHERE tickets > 0) AS with_tickets, COUNT(*) FILTER (WHERE segments > 0) AS with_segments, COUNT(*) FILTER (WHERE boarded > 0) AS with_boarding FROM segmented",902,4,5,3,True,False,False,5,4,11,7,0,4,0,0,0,74103.4,74103.41,1.0,32,1917838.0,853.8,17,13,4,Aggregate,4,0,1,0,3,0,1,1,3,861495,22124,0,0,2550000.0,1000000.0,329580544,157736960,6,1e-06
prod_passenger_itinerary_gaps,"WITH itinerary AS ( SELECT t.passenger_id, f.flight_id, f.departure_airport, f.arrival_airport, f.scheduled_departure, f.scheduled_arrival, LAG(f.scheduled_arrival) OVER ( PARTITION BY t.passenger_id ORDER BY f.scheduled_departure ) AS previous_arrival FROM aviation.tickets t JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no JOIN aviation.flights f ON f.flight_id = tf.flight_id ) SELECT * FROM itinerary WHERE scheduled_departure - previous_arrival < INTERVAL '2 hours' ORDER BY scheduled_departure - previous_arrival LIMIT 200",542,2,1,1,False,True,False,3,3,8,1,2,0,0,0,0,249391.83,249392.33,200.0,64,4850200.0,2740.276,13,10,3,Limit,3,0,0,0,2,0,0,2,0,80288,61272,101578,104624,1550000.0,1000000.0,194240512,79454208,4,0.0002
prod_passenger_itinerary_gaps,"WITH itinerary AS ( SELECT t.passenger_id, f.flight_id, f.departure_airport, f.arrival_airport, f.scheduled_departure, f.scheduled_arrival, LAG(f.scheduled_arrival) OVER ( PARTITION BY t.passenger_id ORDER BY f.scheduled_departure ) AS previous_arrival FROM aviation.tickets t JOIN aviation.ticket_flights tf ON tf.ticket_no = t.ticket_no JOIN aviation.flights f ON f.flight_id = tf.flight_id ) SELECT * FROM itinerary WHERE scheduled_departure - previous_arrival < INTERVAL '2 hours' ORDER BY scheduled_departure - previous_arrival LIMIT 200",542,2,1,1,False,True,False,3,3,8,1,2,0,0,0,0,249391.83,249392.33,200.0,64,4850200.0,3023.911,13,10,3,Limit,3,0,0,0,2,0,0,2,0,81142,60408,101522,104548,1550000.0,1000000.0,194240512,79454208,4,0.0002
