template_id,sql_text,query_length,join_count,where_condition_count,subquery_count,has_group_by,has_order_by,has_distinct,table_reference_count,unique_table_count,select_expression_count,aggregate_function_count,inner_join_count,left_join_count,right_join_count,full_join_count,cross_join_count,estimated_startup_cost,estimated_total_cost,estimated_plan_rows,estimated_plan_width,estimated_rows_all_nodes,actual_total_time_ms,node_count,max_plan_depth,relation_count,root_node_type,seq_scan_count,index_scan_count,index_only_scan_count,bitmap_heap_scan_count,hash_join_count,merge_join_count,nested_loop_count,sort_node_count,aggregate_node_count,shared_hit_blocks,shared_read_blocks,temp_read_blocks,temp_written_blocks,relation_row_estimate_sum,largest_relation_rows,relation_size_bytes,index_size_bytes,existing_index_count,estimated_selectivity
control_retail_rolling_channel_revenue,"WITH daily AS ( SELECT ordered_at::date AS day, sales_channel, SUM(total_amount) AS revenue FROM retail.customer_orders WHERE order_status <> 'cancelled' GROUP BY ordered_at::date, sales_channel ) SELECT day, sales_channel, revenue, SUM(revenue) OVER (PARTITION BY sales_channel ORDER BY day ROWS BETWEEN 6 PRECEDING AND CURRENT ROW) AS rolling_revenue, revenue - LAG(revenue) OVER (PARTITION BY sales_channel ORDER BY day) AS daily_change FROM daily ORDER BY day, sales_channel",478,0,1,1,True,True,False,1,1,8,3,0,0,0,0,0,53843.04,54155.39,124940.0,107,749640.0,136.086,6,6,1,Sort,1,0,0,0,0,0,0,2,1,10596,0,0,0,150000.0,150000.0,17883136,3391488,1,0.8329333333333333
control_retail_rolling_channel_revenue,"WITH daily AS ( SELECT ordered_at::date AS day, sales_channel, SUM(total_amount) AS revenue FROM retail.customer_orders WHERE order_status <> 'cancelled' GROUP BY ordered_at::date, sales_channel ) SELECT day, sales_channel, revenue, SUM(revenue) OVER (PARTITION BY sales_channel ORDER BY day ROWS BETWEEN 6 PRECEDING AND CURRENT ROW) AS rolling_revenue, revenue - LAG(revenue) OVER (PARTITION BY sales_channel ORDER BY day) AS daily_change FROM daily ORDER BY day, sales_channel",478,0,1,1,True,True,False,1,1,8,3,0,0,0,0,0,53843.04,54155.39,124940.0,107,749640.0,128.584,6,6,1,Sort,1,0,0,0,0,0,0,2,1,10590,0,0,0,150000.0,150000.0,17883136,3391488,1,0.8329333333333333
control_retail_stock_rank,"WITH stock AS ( SELECT w.region, i.product_id, SUM(i.quantity - i.reserved_quantity) AS available FROM retail.inventory i JOIN retail.warehouses w USING (warehouse_id) WHERE w.region = 'Region 4' GROUP BY w.region, i.product_id ) SELECT region, product_id, available, DENSE_RANK() OVER (PARTITION BY region ORDER BY available DESC) AS stock_rank, CUME_DIST() OVER (PARTITION BY region ORDER BY available) AS stock_percentile FROM stock ORDER BY stock_rank LIMIT 200",465,1,1,1,True,True,False,2,2,8,3,1,0,0,0,0,5505.16,5505.66,200.0,41,149893.0,78.389,12,11,2,Limit,1,0,0,1,0,0,1,2,1,1147,649,0,0,225015.0,225000.0,20750336,7143424,3,0.0008888888888888889
control_retail_stock_rank,"WITH stock AS ( SELECT w.region, i.product_id, SUM(i.quantity - i.reserved_quantity) AS available FROM retail.inventory i JOIN retail.warehouses w USING (warehouse_id) WHERE w.region = 'Region 4' GROUP BY w.region, i.product_id ) SELECT region, product_id, available, DENSE_RANK() OVER (PARTITION BY region ORDER BY available DESC) AS stock_rank, CUME_DIST() OVER (PARTITION BY region ORDER BY available) AS stock_percentile FROM stock ORDER BY stock_rank LIMIT 200",465,1,1,1,True,True,False,2,2,8,3,1,0,0,0,0,5505.16,5505.66,200.0,41,149893.0,119.869,12,11,2,Limit,1,0,0,1,0,0,1,2,1,1790,0,0,0,225015.0,225000.0,20750336,7143424,3,0.0008888888888888889
control_retail_category_tree_revenue,"WITH RECURSIVE category_tree AS ( SELECT category_id, parent_category_id, category_name, 0 AS depth FROM retail.categories WHERE category_id = 6 UNION ALL SELECT c.category_id, c.parent_category_id, c.category_name, t.depth + 1 FROM retail.categories c JOIN category_tree t ON c.parent_category_id = t.category_id ) SELECT t.depth, t.category_name, SUM(i.quantity * i.unit_price) AS revenue FROM category_tree t JOIN retail.products p ON p.category_id = t.category_id JOIN retail.order_items i ON i.product_id = p.product_id GROUP BY t.depth, t.category_name ORDER BY revenue DESC",580,3,1,2,True,True,False,4,3,11,1,3,0,0,0,0,50221.93,50222.43,200.0,68,2209683.0,277.025,15,7,3,Sort,4,0,0,0,3,0,0,1,1,21342,500,0,0,615060.0,600000.0,72450048,29270016,5,0.0003333333333333333
control_retail_category_tree_revenue,"WITH RECURSIVE category_tree AS ( SELECT category_id, parent_category_id, category_name, 0 AS depth FROM retail.categories WHERE category_id = 6 UNION ALL SELECT c.category_id, c.parent_category_id, c.category_name, t.depth + 1 FROM retail.categories c JOIN category_tree t ON c.parent_category_id = t.category_id ) SELECT t.depth, t.category_name, SUM(i.quantity * i.unit_price) AS revenue FROM category_tree t JOIN retail.products p ON p.category_id = t.category_id JOIN retail.order_items i ON i.product_id = p.product_id GROUP BY t.depth, t.category_name ORDER BY revenue DESC",580,3,1,2,True,True,False,4,3,11,1,3,0,0,0,0,50221.93,50222.43,200.0,68,2209683.0,216.115,15,7,3,Sort,4,0,0,0,3,0,0,1,1,21467,372,0,0,615060.0,600000.0,72450048,29270016,5,0.0003333333333333333
control_retail_latest_order_distinct,"SELECT DISTINCT ON (o.customer_id) o.customer_id, o.order_id, o.ordered_at, o.order_status, o.total_amount FROM retail.customer_orders o JOIN retail.addresses a ON a.address_id = o.shipping_address_id WHERE a.region = 'Region 17' ORDER BY o.customer_id, o.ordered_at DESC",271,1,1,0,False,True,True,2,2,5,0,1,0,0,0,0,5879.66,5916.31,7330.0,38,179320.0,54.434,6,5,2,Unique,2,0,0,0,1,0,0,1,0,10901,0,0,0,225000.0,150000.0,25903104,5087232,2,0.04886666666666667
control_retail_latest_order_distinct,"SELECT DISTINCT ON (o.customer_id) o.customer_id, o.order_id, o.ordered_at, o.order_status, o.total_amount FROM retail.customer_orders o JOIN retail.addresses a ON a.address_id = o.shipping_address_id WHERE a.region = 'Region 17' ORDER BY o.customer_id, o.ordered_at DESC",271,1,1,0,False,True,True,2,2,5,0,1,0,0,0,0,5879.66,5916.31,7330.0,38,179320.0,52.009,6,5,2,Unique,2,0,0,0,1,0,0,1,0,10895,0,0,0,225000.0,150000.0,25903104,5087232,2,0.04886666666666667
control_retail_channel_status_cube,"SELECT sales_channel, order_status, ordered_at::date AS day, COUNT(*) AS orders, SUM(total_amount) AS revenue FROM retail.customer_orders GROUP BY CUBE (sales_channel, order_status, ordered_at::date) ORDER BY day NULLS LAST, sales_channel NULLS LAST, order_status NULLS LAST",274,0,0,0,True,True,False,1,1,5,2,0,0,0,0,0,148249.8,149749.89,600035.0,59,1500070.0,826.103,4,4,1,Sort,1,0,0,0,0,0,0,2,1,7060,0,4933,4947,150000.0,150000.0,17883136,3391488,1,1.0
control_retail_channel_status_cube,"SELECT sales_channel, order_status, ordered_at::date AS day, COUNT(*) AS orders, SUM(total_amount) AS revenue FROM retail.customer_orders GROUP BY CUBE (sales_channel, order_status, ordered_at::date) ORDER BY day NULLS LAST, sales_channel NULLS LAST, order_status NULLS LAST",274,0,0,0,True,True,False,1,1,5,2,0,0,0,0,0,148249.8,149749.89,600035.0,59,1500070.0,891.132,4,4,1,Sort,1,0,0,0,0,0,0,2,1,7060,0,4933,4947,150000.0,150000.0,17883136,3391488,1,1.0
